key,img_path,gt_path,wasserthal_path,knopczynski_path,wasserthal-dice,wasserthal-accuracy,wasserthal-sensitivity,wasserthal-specificity,knopczynski-dice,knopczynski-accuracy,knopczynski-sensitivity,knopczynski-specificity
22,/radraid/pteng/tmp/vessel12/22/img.nii.gz,/scratch2/personal/pteng/dataset/vessel12/VESSEL12/VESSEL12_ExampleScans/Annotations/VESSEL12_22_Annotations.csv,/radraid/pteng/tmp/vessel12/22/wasserthal.nii.gz,/radraid/pteng/tmp/vessel12/22/knopczynski.nii.gz,0.94241,0.96207,0.91837,0.98438,0.86339,0.91379,0.80612,0.96875
23,/radraid/pteng/tmp/vessel12/23/img.nii.gz,/scratch2/personal/pteng/dataset/vessel12/VESSEL12/VESSEL12_ExampleScans/Annotations/VESSEL12_23_Annotations.csv,/radraid/pteng/tmp/vessel12/23/wasserthal.nii.gz,/radraid/pteng/tmp/vessel12/23/knopczynski.nii.gz,0.90052,0.93968,0.81905,1.0,0.89447,0.93333,0.84762,0.97619
21,/radraid/pteng/tmp/vessel12/21/img.nii.gz,/scratch2/personal/pteng/dataset/vessel12/VESSEL12/VESSEL12_ExampleScans/Annotations/VESSEL12_21_Annotations.csv,/radraid/pteng/tmp/vessel12/21/wasserthal.nii.gz,/radraid/pteng/tmp/vessel12/21/knopczynski.nii.gz,0.96053,0.97834,0.9359,0.99497,0.84892,0.92419,0.75641,0.98995
